Country,popSizeTotal,expl,perCap,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
BURKINA FASO,17482000,33,1.89E-04,NULL,NULL,17,13,117.4,5.75,40,0.000531976,60,595,90,78,83.8,55,57,15,15,7,7,6,47,33,37,22,300,71,147,6,1.8,3,103,49.68539069,50.31460931,65,61,47,NULL,NULL,NULL,19,16,43,5,3,33,95,73,50,6
CAMBODIA,14478000,1113,7.69E-03,0.3,0.1,40,27,32.9,2.42,21,0.000386794,63,897,87,79,82.8,62,65,16,17,11,11,10,88,86,83,66,250,53,69,2.1,1,1.2,107,48.98466639,51.01533361,96,95,48,NULL,NULL,NULL,37,33,46,10,5,34,87,58,73,20
CHINA,1339724852,146,1.09E-05,NULL,NULL,85,84,NULL,NULL,38.5,5.44888E-05,32,5439,80,68,74.1,NULL,NULL,NULL,NULL,12,11,12,99,99,97,91,NULL,NULL,NULL,NULL,NULL,0.4,100,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,47,25,27,50,98,85,74,56
COLOMBIA,47551000,124,2.61E-04,9.1,15,78,68,68.1,2.29,37,0.000315451,33,7100,80,56,67.4,70,78,20,22,14,13,14,98,99,93,93,92,17,23,1.6,0.2,1.3,92,49.17246746,50.82753254,89,88,49,12.7,28,60,72,77,51,37,41,52,99,72,82,63
CYPRUS,1102677,12,1.09E-03,7.8,7.7,NULL,NULL,NULL,NULL,58,NULL,NULL,30523,72,57,64.5,NULL,NULL,NULL,NULL,15,15,15,100,100,99,97,NULL,NULL,NULL,NULL,NULL,1.1,133,NULL,NULL,99,99,49,7,12.8,60.6,96,96,49,59,51,46,100,100,100,100
CZECH REPUBLIC,10566000,54,5.11E-04,5.8,7.9,72,63,9.2,1.5,55.5,1.89286E-05,NULL,20607,68,50,58.6,75,81,19,23,15,15,16,NULL,NULL,NULL,NULL,5,3,4,0.2,0.3,0.3,114,49.11035397,50.88964603,96,96,49,1.9,6.6,72.9,NULL,NULL,49,51,71,56,100,100,99,97
DENMARK,5593000,17,3.04E-04,7.7,7.5,78,72,5.1,1.89,90.5,9.47613E-05,26,59581,69,60,64.4,77,81,21,24,17,16,17,NULL,NULL,NULL,NULL,12,4,5,0.5,-0.7,0.3,104,49.61559092,50.38440908,95,97,49,13.8,25.2,62.1,88,91,49,61,88,58,100,100,100,100
ECUADOR,14865000,13,8.75E-05,NULL,NULL,73,59,80.6,2.39,31.5,0.00024218,31,4526,83,54,68.4,73,79,21,24,14,13,14,98,99,93,90,110,19,23,2.1,-0.5,1.3,94,50.0571813,49.9428187,96,98,49,13.8,24.4,52.8,58,59,50,37,43,53,96,89,96,84
EGYPT,83958000,13,1.55E-05,4.9,22.6,60,58,40.6,2.64,35,1.19107E-05,24,2801,74,24,48.9,72,76,17,20,12,12,12,91,84,80,64,66,22,25,2,1.4,1.7,87,50.2108197,49.79037138,98,94,48,NULL,NULL,NULL,71,69,48,34,31,47,100,99,97,93
ERITREA,5581000,13,2.33E-04,NULL,NULL,8,5,53.7,4.24,18,0.000394195,59,482,90,80,84.7,60,64,13,17,5,5,4,92,87,79,58,240,48,62,5,2.3,2.9,85,49.31015947,50.68984053,36,31,45,NULL,NULL,NULL,32,25,43,3,1,25,74,57,52,4
