Country,COC,COE,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeTotal,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
JAPAN,NULL,111,4.8,4.1,54,44,6,1.42,73.5,8.1,33,46407,72,49,60.1,80,87,23,29,15,15,15,NULL,NULL,NULL,NULL,5,3,3,0.6,-7.6,-0.1,122,  126 435,  61 551,  64 883,…,…,49,10.3,34.8,71,99,100,49,63,56,46,100,100,100,100
JORDAN,NULL,108,11,21.2,59,41,23.7,2.89,50.5,NULL,NULL,4556,66,16,41.5,72,75,19,20,13,12,13,99,99,96,89,63,19,22,2.2,0.5,1.9,97,  6 457,  3 320,  3 137,91,91,49,NULL,NULL,NULL,83,88,50,35,41,52,98,92,98,98
KAZAKHSTAN,67,238,4.6,6.2,51,49,25.5,2.48,28.5,13,59,11503,77,67,71.6,62,73,14,19,15,15,16,100,100,100,100,51,24,29,0.9,1.2,1,117,  16 381,  7 870,  8 512,89,88,49,NULL,NULL,NULL,90,89,48,33,48,58,99,90,97,98
KUWAIT,NULL,206,2,1.8,52,39,14.4,2.25,45,NULL,NULL,57102,82,43,67.7,74,76,18,18,14,13,15,99,99,95,92,14,8,10,2.4,1.7,2.4,43,  2 892,  1 723,  1 168,91,94,49,NULL,NULL,NULL,86,93,50,14,31,64,99,99,100,100
KYRGYZSTAN,449,NULL,7.3,9.4,48,46,33,2.62,28,9.7,29,1098,79,56,66.7,64,72,15,19,13,12,13,100,100,100,99,71,33,42,1.3,0.9,1.1,139,  5 448,  2 687,  2 761,88,87,49,NULL,NULL,NULL,79,79,49,42,55,56,99,85,94,93
LAO PEOPLES DEMOCRATIC REPUBLIC,130,NULL,1.3,1.4,38,..,30.1,2.54,NULL,8.3,42,1303,80,77,77.9,66,69,16,18,10,11,9,89,79,82,63,470,37,46,4.4,-0.4,1.3,92,  6 374,  3 183,  3 191,98,95,47,NULL,NULL,NULL,42,38,45,19,14,43,77,62,89,50
LEBANON,NULL,73,8.6,10.1,58,34,15.4,1.76,28,3.4,32,9165,71,23,45.8,71,75,17,20,14,13,14,98,99,93,86,25,20,24,0.9,-0.2,0.7,97,  4 292,  2 095,  2 197,92,91,48,NULL,NULL,NULL,71,79,52,49,59,54,100,100,100,87
MALAYSIA,NULL,798,3.3,3.6,55,30,NULL,NULL,49.5,100,11,9977,77,44,60.4,NULL,NULL,NULL,NULL,13,12,13,98,98,95,91,NULL,NULL,NULL,NULL,NULL,1.6,82,NULL,NULL,NULL,96,96,48,NULL,NULL,NULL,65,71,51,35,45,56,100,99,96,95
MALI,45,NULL,7.2,10.9,8,6,168.9,6.12,33.5,66,61,671,70,37,53.1,51,53,13,14,7,8,7,56,34,43,20,540,92,173,4.8,1.9,3,91,  16 319,  8 162,  8 157,67,59,46,NULL,NULL,NULL,36,25,41,8,4,31,87,51,35,14
MAURITIUS,NULL,20,5.2,12.3,76,39,NULL,NULL,53.5,8.7,29,8659,76,44,59.5,NULL,NULL,NULL,NULL,14,13,14,96,98,91,86,NULL,NULL,NULL,NULL,NULL,0.5,172,NULL,NULL,NULL,92,94,49,23.8,39.1,44.4,74,74,49,22,28,55,100,99,91,88
MEXICO,176,NULL,5.3,5.2,71,67,65.5,2.23,30.5,220,27,10063,81,44,61.9,75,80,21,23,14,14,14,98,98,94,92,50,14,17,1.5,-0.2,1.1,98,  116 147,  57 288,  58 859,98,98,49,12.5,27.7,57.1,70,73,51,28,28,50,97,91,87,79
MYANMAR,1281,NULL,4.7,8.8,41,38,12,1.94,25,230,35,1144,82,75,78.5,64,68,16,18,9,…,…,96,96,95,90,200,45,57,2.5,-0.1,0.8,95,  48 724,  24 007,  24 717,…,…,50,NULL,NULL,NULL,49,52,51,9,13,58,93,78,83,73
NEPAL,27,NULL,3.1,2.4,48,44,86.2,2.59,28,60,33,607,88,80,83.9,68,70,17,18,9,10,8,88,78,73,48,170,32,39,3.6,1.3,1.7,214,  31 011,  15 379,  15 632,78,64,50,NULL,NULL,NULL,…,…,47,8,3,41,93,88,48,27
NIGER,31,NULL,1.7,0.9,11,5,193.6,6.93,34.5,53,53,397,90,40,64.6,55,56,14,15,5,6,4,52,23,43,15,590,86,144,4.9,3.2,3.5,117,  16 644,  8 378,  8 267,68,57,44,NULL,NULL,NULL,13,8,40,2,1,30,100,39,34,4
NIGERIA,119,NULL,3.7,4.4,15,8,111.3,5.43,27,2900,59,1509,63,48,55.6,52,53,15,17,9,10,8,78,66,72,50,630,88,141,3.7,1.3,2.5,90,  166 629,  84 398,  82 231,60,55,47,NULL,NULL,NULL,…,…,46,12,9,41,74,43,35,27
OMAN,NULL,94,NULL,NULL,32,25,9.3,2.15,45,1.1,…,25536,82,28,61.3,71,76,16,19,14,13,14,98,98,90,81,32,8,11,2.2,0.9,1.9,26,  2 904,  1 716,  1 188,95,92,48,NULL,NULL,NULL,89,90,42,21,29,50,93,78,100,95
PHILIPPINES,11312,1964,NULL,NULL,51,34,46.5,3.05,35,8.6,30,2370,79,50,64.4,66,73,16,19,12,11,12,97,98,95,96,99,21,27,2.2,1.2,1.7,105,  96 471,  48 367,  48 105,88,89,48,NULL,NULL,NULL,56,67,49,26,32,54,93,92,79,69
POLAND,NULL,351,9,10.4,73,28,12.2,1.42,62.5,27,30,13424,64,48,55.9,72,81,18,23,15,15,16,100,100,100,99,5,6,7,0,0.2,0,144,  38 317,  18 474,  19 843,96,96,48,4.9,12.4,67.4,90,92,50,58,83,58,100,…,96,80
QATAR,NULL,237,0.2,3.3,43,32,15.5,2.2,66,<0.2,…,92682,95,52,86.4,79,78,22,21,12,12,14,96,98,97,95,7,8,10,3,-8.6,2.9,35,  1 939,  1 471,468,92,92,49,NULL,NULL,NULL,76,93,47,5,26,63,100,100,100,100
"KOREA, REPUBLIC OF",12,NULL,3.6,3.1,80,70,5.8,1.39,NULL,9.5,31,23067,71,49,60.2,77,84,21,26,17,18,16,NULL,NULL,NULL,NULL,16,4,5,0.7,-1.2,0.4,111,  48 588,  24 216,  24 373,99,98,48,10,18.5,56.6,96,95,50,119,86,39,100,88,100,100
"MOLDOVA, REPUBLIC OF",7363,5562,7.7,5.6,68,43,NULL,NULL,NULL,12,43,1975,45,38,41.5,NULL,NULL,NULL,NULL,12,12,12,99,100,99,98,NULL,NULL,NULL,NULL,NULL,-0.7,127,NULL,NULL,NULL,88,87,48,21.8,31.9,61.3,78,79,48,33,44,56,99,93,89,82
ROMANIA,685,273,7.9,6.8,70,38,28.8,1.43,47,15,31,8853,65,49,56.4,71,78,17,22,15,14,15,97,97,98,97,27,12,15,-0.2,-0.3,-0.2,105,  21 388,  10 370,  11 017,88,87,48,9.6,11.5,49.5,82,83,48,50,68,56,99,76,88,54
RUSSIAN FEDERATION,NULL,2619,7,6.2,80,65,23.2,1.53,NULL,960,50,13006,71,56,63,63,75,15,21,14,14,15,100,100,100,99,34,11,16,0.1,-0.8,-0.1,137,  142 703,  65 992,  76 712,93,93,49,2.8,5.4,65.3,…,…,52,65,87,57,99,92,74,59
